INDEX_DATE,ITEM_ID,ITEM_DESC,INDEX_ALGORITHM,ITEM_INDEX,ALL_GM_INDEX,COICOP_WEIGHT,ITEM_WEIGHT,CPIH_COICOP_WEIGHT
202408,210102,LGE LOAF-WHTE-UNSLED-750-800G,1,101.23200000000001,101.48200000000001,0.42100000000000004,0.27,0.34
202408,210106,SIX BREAD ROLLS-WHITE/BROWN,1,99.369,99.475,0.655,0.42,0.529
202408,210111,WHITE SLICED LOAF BRANDED 750G,1,99.416,99.40899999999999,1.0290000000000001,0.66,0.831
202408,210113,WHOLEMEAL SLICED LOAF BRANDED,1,100.05799999999999,100.025,0.7490000000000001,0.48,0.604
202408,210114,CHILLED GARLIC BREAD,1,101.97200000000001,101.898,1.31,0.84,1.057
202408,210115,WRAP / TORTILLA PACK 6-8,1,104.77799999999999,104.791,0.374,0.24,0.302
202408,210116,GLUTEN FREE BREAD LF 300-550G,1,99.73,99.772,0.14,0.09,0.113
202408,210201,FLOUR-SELF-RAISING-1.5KG,1,99.835,99.911,0.42,0.12,0.33899999999999997
202408,210204,DRY SPAGHETTI OR PASTA 500G,1,102.367,101.20700000000001,0.281,0.36,0.22699999999999998
202408,210211,CORN SNACK SINGLE PACK MAX 50G,1,100.44200000000001,99.35,0.838,0.48,0.6759999999999999
202408,210212,BASMATI RICE 500G-1KG,1,98.742,98.764,0.369,0.36,0.298
202408,210213,BREAKFAST CEREAL 1,1,103.214,99.81299999999999,1.056,0.3,0.852
202408,210214,BREAKFAST CEREAL 2,1,101.725,102.28399999999999,2.006,0.57,1.619
202408,210215,CEREAL BAR,1,99.287,100.164,0.41200000000000003,0.36,0.33299999999999996
202408,210216,HOT OAT CEREAL,1,101.316,100.014,0.42200000000000004,0.12,0.341
202408,210217,RICE MICRO POUCH/TRAY 220-280G,1,100.904,100.209,0.062,0.06,0.05
202408,210219,BREAKFAST CEREAL GLUTEN FREE,1,99.78299999999999,100.944,0.21100000000000002,0.06,0.17
202408,210221,COUSCOUS PLAIN/FLAVOURED,1,100.61200000000001,101.04899999999999,0.047,0.06,0.038
202408,210222,RICE CAKES PACK 100-180G,1,98.211,96.45700000000001,0.154,0.15,0.124
202408,210301,CREAM CRACKERS PACK 200G-300G,1,96.279,97.50299999999999,0.561,0.49,0.45299999999999996
202408,210302,PLAIN BISCUITS-200-300G,1,100.18,100.339,1.604,1.4,1.295
202408,210320,WHOLE SPONGE CAKE NOT FROZEN,1,102.242,101.63,1.2830000000000001,1.12,1.036
202408,210321,PACK OF 5-6 INDIVIDUAL CAKES,1,97.512,97.85600000000001,2.406,2.1,1.942
202408,210323,BISCUITS HALF CHOC 260-400G,1,106.21,105.53,0.802,0.7,0.647
202408,210324,CRUMPETS PACK 6-9 SPEC NUMBER,1,99.06,98.603,1.3630000000000002,1.19,1.1
202408,210403,HOME KILLED BEEF-LEAN MINCE KG,1,99.662,99.551,0.78,0.9,0.63
202408,210406,HOME KLD BEEF-RUMP/POPES STEAK,1,99.311,99.34,1.0659999999999998,1.23,0.861
202408,210414,FROZEN BEEFBURGERS PACK OF 4,1,97.211,96.994,0.41600000000000004,0.48,0.336
202408,210416,BEEF ROASTING JOINT PER KG,1,103.484,103.90799999999999,0.33799999999999997,0.39,0.273
202408,210506,HK LAMB LOIN CHOP/STEAK PER KG,1,112.329,111.065,1.709,1.0,1.379
202408,210707,HOME KILLED PORK CHOP/STEAK,1,100.87899999999999,101.346,1.157,1.0,0.934
202408,210802,BACON-GAMMON-PER KG,1,101.241,101.189,0.402,0.18,0.324
202408,210808,BACON-BACK-PER KG,1,99.78299999999999,99.711,1.83,0.82,1.4769999999999999
202408,210905,FRESH/CHILLED CHICKEN  PER KG,1,102.521,101.881,0.782,1.12,0.631
202408,210910,FRESH BONELESS CHICKEN BREAST,1,98.178,98.294,1.787,2.56,1.443
202408,210914,FRESH TURKEY DICED/MIN PER KG,1,102.684,102.415,0.223,0.32,0.18
202408,211007,CANNED MEAT-STEWED STEAK,1,102.148,102.689,0.139,0.12,0.11199999999999999
202408,211011,INDIVIDUAL MEAT PIE,1,101.266,100.735,0.905,0.78,0.731
202408,211014,SAUSAGES-PORK-PER KG,1,100.861,100.52600000000001,1.875,0.84,1.5130000000000001
202408,211019,FROZ CHICKEN NUGGETS 220-600G,1,100.72,100.84899999999999,0.696,0.6,0.562
202408,211023,COOKED HAM PREPACKED SLICED,1,97.74,97.022,2.812,1.26,2.27
202408,211024,CONTINENTAL SLICED DELI MEAT,1,101.244,100.075,0.937,0.42,0.757
202408,211025,JOINT OV/READ GAM/POR 450-900G,1,101.52600000000001,101.626,0.139,0.12,0.11199999999999999
202408,211026,CHICKEN KIEV 2 PACK 240-325G,1,106.301,106.74,0.696,0.6,0.562
202408,211027,H K LIVER PER KG STATE TYPE,1,117.686,119.037,0.201,0.06,0.162
202408,211029,COOKED MEAT TURKEY/CHICK SLICE,1,100.509,100.51100000000001,0.335,0.48,0.271
202408,211030,MEAT BASED SNACK PACK MAX 400G,1,99.287,99.54700000000001,0.835,0.72,0.674
202408,211101,FRESH WHITE FISH FILLETS KG,1,101.46600000000001,101.523,0.36200000000000004,0.56,0.292
202408,211105,FRESH FISH-SALMON FILLETS-KG,1,96.132,97.87100000000001,0.634,0.98,0.511
202408,211106,FROZEN PRAWNS PER KG,1,96.631,96.439,0.914,0.46,0.738
202408,211207,"CANNED FISH, TUNA, 130G-200G",1,98.868,97.81,1.0090000000000001,0.96,0.8140000000000001
202408,211210,FROZEN FISH FINGERS 8-12 PK,1,97.387,97.899,0.862,0.82,0.695
202408,211211,FROZEN BREAD/BAT FISH 400-550G,1,100.21799999999999,100.118,0.231,0.22,0.187
202408,211305,SPREADABLE BUTTER,1,103.43,103.374,0.489,0.53,0.395
202408,211306,BUTTER 200-250G SPEC COO,1,101.87899999999999,101.68799999999999,0.434,0.47,0.35
202408,211408,OLIVE OIL - 500ML - 1 LITRE,1,122.55799999999999,122.431,1.02,0.76,0.823
202408,211409,"PEANUT BUTTER, JAR, 225-350G",1,98.132,93.721,0.166,0.16,0.134
202408,211410,DAIRY SPREAD/MARGARINE,1,102.29,101.64399999999999,0.975,0.94,0.787
